d1,d2,d3,d4,d5,y
74,73.6,74.3,74.9,75,74.7
73.6,74.3,74.9,75,74.7,74.1
74.3,74.9,75,74.7,74.1,74.5
74.9,75,74.7,74.1,74.5,76
75,74.7,74.1,74.5,76,76
74.7,74.1,74.5,76,76,74.6
74.1,74.5,76,76,74.6,74.4
74.5,76,76,74.6,74.4,73.5
76,76,74.6,74.4,73.5,74.5
76,74.6,74.4,73.5,74.5,74.7
74.6,74.4,73.5,74.5,74.7,74.9
74.4,73.5,74.5,74.7,74.9,74.8
73.5,74.5,74.7,74.9,74.8,74
74.5,74.7,74.9,74.8,74,73.2
74.7,74.9,74.8,74,73.2,72.6
74.9,74.8,74,73.2,72.6,72.3
74.8,74,73.2,72.6,72.3,72
74,73.2,72.6,72.3,72,72.7
73.2,72.6,72.3,72,72.7,73.4
72.6,72.3,72,72.7,73.4,74
72.3,72,72.7,73.4,74,72.9
72,72.7,73.4,74,72.9,74.5
72.7,73.4,74,72.9,74.5,74.7
73.4,74,72.9,74.5,74.7,75
74,72.9,74.5,74.7,75,77.2
72.9,74.5,74.7,75,77.2,76.9
74.5,74.7,75,77.2,76.9,77.6
74.7,75,77.2,76.9,77.6,79.5
75,77.2,76.9,77.6,79.5,80.5
77.2,76.9,77.6,79.5,80.5,80.5
76.9,77.6,79.5,80.5,80.5,80.2
77.6,79.5,80.5,80.5,80.2,80.1
79.5,80.5,80.5,80.2,80.1,80.8
80.5,80.5,80.2,80.1,80.8,80.2
80.5,80.2,80.1,80.8,80.2,80.6
80.2,80.1,80.8,80.2,80.6,88.6
80.1,80.8,80.2,80.6,88.6,90
80.8,80.2,80.6,88.6,90,89.5
80.2,80.6,88.6,90,89.5,89.9
80.6,88.6,90,89.5,89.9,90.5
88.6,90,89.5,89.9,90.5,91
90,89.5,89.9,90.5,91,90.3
89.5,89.9,90.5,91,90.3,91.3
89.9,90.5,91,90.3,91.3,91
90.5,91,90.3,91.3,91,91
91,90.3,91.3,91,91,91.6
90.3,91.3,91,91,91.6,91.6
91.3,91,91,91.6,91.6,92.4
91,91,91.6,91.6,92.4,92.2
91,91.6,91.6,92.4,92.2,91.1
91.6,91.6,92.4,92.2,91.1,91.5
91.6,92.4,92.2,91.1,91.5,90.9
92.4,92.2,91.1,91.5,90.9,91
92.2,91.1,91.5,90.9,91,90.8
91.1,91.5,90.9,91,90.8,91.5
91.5,90.9,91,90.8,91.5,90.9
90.9,91,90.8,91.5,90.9,90.8
91,90.8,91.5,90.9,90.8,84.8
90.8,91.5,90.9,90.8,84.8,89
91.5,90.9,90.8,84.8,89,90
90.9,90.8,84.8,89,90,90.4
90.8,84.8,89,90,90.4,90.8
84.8,89,90,90.4,90.8,90.9
89,90,90.4,90.8,90.9,87.9
90,90.4,90.8,90.9,87.9,91
90.4,90.8,90.9,87.9,91,89.7
90.8,90.9,87.9,91,89.7,89.3
90.9,87.9,91,89.7,89.3,90.1
87.9,91,89.7,89.3,90.1,90.5
91,89.7,89.3,90.1,90.5,92.8
89.7,89.3,90.1,90.5,92.8,91.9
89.3,90.1,90.5,92.8,91.9,92.5
90.1,90.5,92.8,91.9,92.5,91.4
